28/10/24 02:10 - Pika:  SHIIIIIIIIT 
28/01/24 14:00 - Pika:  No ma digo 
17/07/23 12:00 - Pika:  Es lo de hoy 
10/03/24 14:44 - Pika:  Ya nadie tiene su base de datos en su chompu puro aws 
18/02/23 19:58 - Pika:  Y azufre 
08/08/24 16:21 - Pika:  Y Google claudia 
15/04/23 06:57 - Pika:  Y ya 
18/04/23 09:54 - Pika:  Porque ni IBM usa IBM Cloud 
13/09/23 23:51 - Pika:  Denada 
31/07/24 23:40 - Pika:  X2 
04/08/23 15:05 - Pika:  Que horario vas a meter pop? 
28/07/24 08:34 - Pika:  Fuerza amigo gsu antoine manue lui migue 
22/09/23 23:57 - Pika:  No ma es la que iba a meter en la tarde 
17/09/24 02:35 - Pika:  Si te caigo mal esta bn amigo 
22/02/23 11:56 - Pika:  Solo dímelo 
06/12/23 23:01 - Pika:  Chin 
11/03/24 19:45 - Pika:  Metele un chingadazo a tu compu 
15/06/23 22:49 - Pika:  A ver si así entiende 
02/04/24 14:53 - Pika:  Este es mi horario chavalines 
28/07/23 01:16 - Pika:  Sale pop 
07/09/23 21:11 - Pika:  Sale pop 
20/04/24 15:53 - Pika:  Lunes 26 de Agosto 
16/01/24 13:56 - Pika:  Tienes 1 cita en el salón 3209 a las 8.30 am 
18/01/23 04:40 - Pika:  Sale 
07/12/23 16:05 - Pika:  Ya quedamos 
17/08/23 12:48 - Pika:  Pinche pop te pones wapo 
26/03/23 03:56 - Pika:  No ma la inscripción parece chaqueta 
07/08/24 05:33 - Pika:  Tienes 1 hora y solo dura 1 minuto 
29/12/23 04:11 - Pika:  Gracia pp 
17/10/24 01:36 - Pika:  Pp significa pinche pop 
26/07/23 19:37 - Pika:  No ma ya no quiero trabajar en ibm 
27/05/24 23:51 - Pika:  mi mentora se pasa de verga 
05/01/24 01:13 - Pika:  Esq lleva como un mes diciendome que haga unas cosas en un sistema pero le digo que no tengo cuenta para ese sistema 
21/08/24 01:46 - Pika:  Que si me da uno y me dice que no 
07/08/23 17:24 - Pika:  Y me estresa porque le he pedido cuentas 10 veces a los mismos 5 pibes y nadie me da nada unu 
18/01/23 19:43 - Pika:  Y ya 
21/10/23 08:30 - Pika:  Pero la vd en vacaciones esta agusto porque no he hecho casi nada 
08/06/23 19:28 - Pika:  En realidad solo me tienen que pasar un usuario 
20/01/24 22:53 - Pika:  Pero nadie me lo quiere pasar 
05/05/23 02:56 - Pika:  Talvez pq soy becario 
28/04/24 09:21 - Pika:  chi 
21/02/24 11:37 - Pika:  Te quería ligar marrano 
17/10/23 23:36 - Pika:  No m 
19/09/24 07:49 - Pika:  Feliz pop cum :3 
04/07/23 09:34 - Pika:  ⚽️ 
06/10/24 08:21 - Pika:  Si bro 
08/04/23 05:19 - Pika:  Hola amigos 
19/03/24 18:34 - Pika:  Espero que todos estén bien 
16/02/24 09:55 - Pika:  Quiero decirles que mi mamá falleció hoy 
22/06/24 00:58 - Pika:  Gracias amigos 
24/11/23 17:49 - Pika:  Muchas gracias amigos de verdad 
22/03/23 10:00 - Pika:  Lo aprecio mucho 
01/11/23 09:46 - Pika:  Perdón amigos 
17/05/24 12:13 - Pika:  Olvide decirles que partir de las 6 de la tarde estaremos velando a mi mamá 
24/02/23 01:24 - Pika:  Muchas gracias por venir amigos de verdad lo agradezco profundamente 
27/05/24 22:26 - Pika:  Muchas gracias de verdad amigos 
31/10/23 05:39 - Pika:  Ese que tiene? 
22/04/23 19:39 - Pika:  Podemos jugar juntos si yo lo tengo en mi tablet 
15/09/24 06:05 - Pika:  ? 
26/02/23 13:13 - Pika:  Ah vava 
11/05/23 01:21 - Pika:  Ps yo tambn 
28/09/23 13:37 - Pika:  Yo soy experto en hacer corrales 
01/10/23 16:49 - Pika:  De animales 
09/07/23 23:12 - Pika:  Oigan chicas 
01/02/23 07:15 - Pika:  Pueden contestar esa encuentas? porfi 
11/03/23 21:46 - Pika:  Es de Marianita 
18/05/24 05:23 - Pika:  gachas 
16/10/23 15:56 - Pika:  Eres de Banorte no Gsu? 
16/08/24 14:40 - Pika:  El banco rojo 
24/04/24 15:44 - Pika:  Copel 
21/07/24 05:08 - Pika:  Ay 
07/11/23 16:46 - Pika:  No ma amigo 
20/04/23 12:19 - Pika:  Pero no te preocupes 
24/10/24 02:24 - Pika:  De los errores es de donde más se aprende 
31/07/23 21:37 - Pika:  Yo también puedo jugar? 
17/08/23 01:23 - Pika:  Oficialmente murió CR 
30/06/24 17:25 - Pika:  ATENCIÓN!!! ‼️‼️‼️🚨🚨🚨 
20/08/24 03:36 - Pika:  Chicas 
26/01/24 08:23 - Pika:  Que hacen si me cambio de carrera 
23/07/23 18:29 - Pika:  ? 
20/09/23 04:24 - Pika:  Y me cambio a Biolohia 
20/05/24 06:24 - Pika:  Marina 
13/06/23 08:01 - Pika:  Soy este? 
25/07/23 04:41 - Pika:  La verdad si estaría épico 
04/04/23 02:36 - Pika:  Ganar suficiente dinero como para poner el mejor restaurante de mariscos en la playa más escondida de Oaxaca 
11/11/23 18:42 - Pika:  La verdad 
08/03/23 09:50 - Pika:  wey esq lit la rayerson😍❤️🫰 
07/10/23 07:12 - Pika:  Vaga idea 
17/01/23 12:39 - Pika:  Pero cada vez también pienso más en sacar 1 canción jaja 
27/11/23 17:58 - Pika:  Esq la verdad 
22/01/23 19:22 - Pika:  Me gustaría estudiar ingeniería en audio jaja 
19/05/24 15:53 - Pika:  En general siento que son muchas cosas 
29/11/23 19:25 - Pika:  Gracias amigo 
19/06/23 21:33 - Pika:  de verdad 
21/07/24 00:15 - Pika:  No soy yo amigo 
27/04/24 08:44 - Pika:  Es mi clon 
14/05/24 03:04 - Pika:  Jajajajajaja si cagan 
27/09/24 06:55 - Pika:  Hoy una señora me marcó de BBVA 
07/06/23 15:05 - Pika:  Y me ofreció una tarjeta de crédito 
22/04/23 15:52 - Pika:  Pero se rió de mi cuando le contesté 
06/10/23 16:36 - Pika:  Nel 
18/09/24 20:58 - Pika:  Me puse triste 
20/01/23 19:53 - Pika:  Chicas descárguense diaolingo 
26/05/24 05:24 - Pika:  Y hay que hacernos amigos 
12/05/24 02:56 - Pika:  Ya tengo a pop 
10/04/23 14:15 - Pika:  Y a Mario 
30/06/23 20:28 - Pika:  No se 
29/10/23 02:36 - Pika:  Solo le dije hola 
04/06/23 01:14 - Pika:  Y me dijo bueno 
16/01/24 18:18 - Pika:  Y pregunto por mi y le dije 
22/08/24 13:52 - Pika:  Qn habla u se rio 
17/02/23 12:43 - Pika:  Y yo me quede 
11/05/23 14:16 - Pika:  De hecho fuimos juntos a la primaria 
21/01/24 03:01 - Pika:  En el Colegio Rayerson 
04/06/23 07:49 - Pika:  Ya descarguense el duolingo 
08/03/23 10:51 - Pika:  Chicas aprenden idiomas 
01/10/24 11:28 - Pika:  Y pagamos el duolingo super familiar :D 
18/10/24 15:16 - Pika:  Bueno se que esta esa opción 
01/09/24 06:23 - Pika:  Pues me sale que son 46 peso mas 
02/02/24 05:24 - Pika:  Hay que hacernos amigos 
17/04/24 09:21 - Pika:  Este es mi perfil. ¡Seamos amigos! 
05/07/23 20:53 - Pika:  Va 
05/03/24 14:03 - Pika:  Primero hay que encontrar 4 chichonas mas que también quieran para que salga más barato 
01/10/24 07:03 - Pika:  Amistad es amigo 
17/04/24 19:32 - Pika:  Chi c: 
01/05/24 20:40 - Pika:  Pero eres frita 
18/12/23 16:37 - Pika:  Te llamas carofrita 
27/03/23 08:57 - Pika:  Qn pingas son las chicas poderosas? 
26/09/23 21:24 - Pika:  Un delete sin el ejete 
28/03/24 07:54 - Pika:  Where 
23/10/24 17:21 - Pika:  Oigan 
06/05/23 06:10 - Pika:  Chicas 
17/10/23 08:06 - Pika:  Entons como esta su horario? 
20/11/23 00:04 - Pika:  Esq meti full mañana excepto ciber 
26/11/23 19:07 - Pika:  Saben tambn q pudimos haber hecho 
12/04/24 18:56 - Pika:  Meter una optativa de 7mo 
24/08/24 07:10 - Pika:  Bueno 
15/03/23 23:34 - Pika:  Yo digo 
10/06/23 23:00 - Pika:  😞 
22/02/24 15:52 - Pika:  Chicas extrato club penguin 😞 
18/06/24 05:53 - Pika:  Extraño 
21/09/23 20:05 - Pika:  Disculpen si me vengo los veo mañana 
01/11/23 03:41 - Pika:  - Gus 
20/10/24 19:19 - Pika:  No lo entenderías caro solo chicas mañana 
22/08/23 11:06 - Pika:  Pero te dire el contecsto 
15/06/24 06:43 - Pika:  Esq una vez entramos a un salón vacío y un profe puso un mensaje que tenía junta y que los veía mañana 
28/03/23 15:23 - Pika:  Y Goten pi hizo magia 
05/02/24 03:29 - Pika:  Y ya 
28/06/24 16:37 - Pika:  Y eso que no estuviste cuando pi el otro día se 
21/01/24 18:55 - Pika:  Oigan chicas 
05/08/24 13:30 - Pika:  Tienen el sticker de la bolita amarilla que le 
08/01/23 05:36 - Pika:  🫡 
02/10/24 00:42 - Pika:  Casi roro 
22/11/23 00:41 - Pika:  Ola amigos 
18/05/24 21:22 - Pika:  Buenos días 
24/01/23 18:10 - Pika:  Muchas gracias ❤️ 
16/10/23 05:29 - Pika:  Yo a ti amigo si homo 
29/09/24 21:48 - Pika:  Gracias pop, tambn te mando un abrazo 🫂 
21/10/24 15:50 - Pika:  @13135550002 jijiji 
22/01/23 01:47 - Pika:  Gachas Goten pi🫂🤝 
06/04/23 03:49 - Pika:  Gracias marrano wep 
10/08/24 22:43 - Pika:  Gracias dogo 
21/10/24 14:52 - Pika:  Gracias caro 
23/06/24 06:21 - Pika:  Gracias Rodríguez 🫂 
24/06/24 18:59 - Pika:  Gracias Sacum 🫂🤝 
25/12/23 22:44 - Pika:  Gracias papstian 
06/04/23 01:10 - Pika:  Gracias Pablo Dario 
08/04/24 19:03 - Pika:  Chicas 
21/08/24 09:20 - Pika:  Creo q hice una compra mala 
12/03/23 15:28 - Pika:  NO 
16/12/23 08:01 - Pika:  Ya lo dejé 
11/12/23 03:28 - Pika:  Tiene un buen que nojuego una oartida 
24/06/24 07:02 - Pika:  1 control 
21/10/23 17:44 - Pika:  De la play 
28/10/23 05:10 - Pika:  Esq aún no llega 
06/07/23 10:54 - Pika:  Ese 
22/07/23 05:24 - Pika:  Nel lo compre en Amazon 
13/08/23 03:25 - Pika:  Va 
13/07/24 19:23 - Pika:  Chi 
19/03/23 09:06 - Pika:  Odio peru 
20/07/23 22:27 - Pika:  En serio 
12/02/23 05:16 - Pika:  Mmm vava 
26/01/24 17:06 - Pika:  Esq me salió como cocinaban un cuyo 
03/05/23 09:58 - Pika:  Y estaba pensando en comprar un cuyo de mascota xD 
25/02/24 08:42 - Pika:  Pero literal los empalan 
08/06/24 19:45 - Pika:  Y lo muestran 😭😭 
30/09/24 01:55 - Pika:  Chingadamadre ódio Peru x2 
27/12/23 07:21 - Pika:  Si es por un peruano que asco 
24/06/23 02:22 - Pika:  Aparte hizo un horno con tierra 
15/09/23 01:26 - Pika:  A las 6 me queda mejor para pelarme de la chamba 
20/03/23 10:59 - Pika:  Qn pingas es anafer? 
14/02/23 03:43 - Pika:  Es tu nueva noiva Gsu Antolín e? 
16/07/23 21:21 - Pika:  Antoine 
05/07/24 07:58 - Pika:  Holy shit 
03/05/24 11:24 - Pika:  Tu eres la chichona de la relación? 
25/01/24 06:25 - Pika:  Hola 
12/06/24 10:02 - Pika:  Debate serio 
18/09/24 13:04 - Pika:  XD 
10/09/24 12:54 - Pika:  Mmmm chi 
02/08/24 22:36 - Pika:  Dark Pablini 
29/01/24 17:25 - Pika:  Oigan 
13/03/24 23:33 - Pika:  Pero en donde es? 
22/05/24 21:13 - Pika:  Vava 
31/05/23 14:06 - Pika:  A las 3 
07/01/23 10:10 - Pika:  @5215530240240 @5215533980587 van a ir? 
18/10/23 16:06 - Pika:  Y si si se regresaran conmigo? 
07/05/23 17:26 - Pika:  Oooh vale 
06/07/23 00:43 - Pika:  Yo ya voy chicas 
18/02/24 03:35 - Pika:  Hay mucho tráfico 
12/09/23 01:18 - Pika:  Q no hay ni a las 7 am pa ir a mi natal escom 
04/02/24 17:49 - Pika:  Ese es el tipo de cosas que me hacen sospechar 
29/09/23 23:46 - Pika:  @5216462270012 
06/08/24 17:03 - Pika:  Yo creo que si van a terminar andando xD 
19/04/23 08:36 - Pika:  Vavava 
11/08/24 17:17 - Pika:  Habla con el director y dile que pasó jefe la verdad la cosas está cabrona como para hacer una tesis 
13/07/23 00:18 - Pika:  Que pasó jefe salimos o no salimos 
30/10/24 21:15 - Pika:  Dios plan🙏 
22/07/24 05:55 - Pika:  Ptm 
27/01/23 21:00 - Pika:  Quien pingas dejó q ewin se pasara a la mañana 
13/10/23 16:38 - Pika:  Weno 
06/08/24 16:34 - Pika:  A dogo lo toca su tío y le toca PN 
18/03/24 01:36 - Pika:  Si mona 
13/09/23 19:55 - Pika:  China 
12/02/24 07:38 - Pika:  ☕️ 
28/11/23 07:12 - Pika:  😈🔥 
03/07/23 09:55 - Pika:  Me lleva la pinche puta perra chingada 
29/01/24 02:24 - Pika:  Vi a Isaac 
04/07/24 03:39 - Pika:  Que pongas es un ERP 
21/05/23 17:48 - Pika:  Y Martín al 
10/12/23 06:47 - Pika:  Margin call 
17/10/23 12:10 - Pika:  Explotó un transformador una mamada así 
15/02/23 08:11 - Pika:  Celis? 
05/07/24 18:16 - Pika:  Eupiplescalantetodojunto@dickmail.cock 
17/02/23 03:25 - Pika:  Eso ya fue demasiado lejos 
17/06/24 09:27 - Pika:  Foto o faje 
21/06/23 17:08 - Pika:  Fake 
19/02/24 11:51 - Pika:  Foto onfake 
23/05/24 01:18 - Pika:  📸 
01/05/24 12:37 - Pika:  📸 
08/03/23 12:14 - Pika:  📸 
05/12/23 13:51 - Pika:  Foto 
22/09/24 22:01 - Pika:  Pofia 
14/09/23 08:19 - Pika:  Foto 
15/02/23 18:40 - Pika:  Ya 
04/10/23 17:05 - Pika:  :o 
15/01/23 09:58 - Pika:  De seguro es la Marlene 
16/06/23 12:20 - Pika:  Como me caga esa vieja 
17/10/23 11:21 - Pika:  Una vieja hdspm 
08/08/24 19:37 - Pika:  Metanles un sape 
15/08/24 02:41 - Pika:  De seguro tienen al Neftali otra vez 
09/03/23 00:12 - Pika:  Quienes fueron? 
10/10/24 01:44 - Pika:  No ma que asco 
23/10/23 02:27 - Pika:  No mames que te dijo eso antoine? 
26/07/23 21:41 - Pika:  Parate y aprietale un pezón 
27/05/23 12:21 - Pika:  Te doy permiso antoine 
24/01/24 20:20 - Pika:  No mames ya sabía yo pinche perra 
11/04/24 20:06 - Pika:  El otro día tu comadre dijo que se cambio de la esca pq estaba muy fácil 
08/03/23 13:42 - Pika:  Y se vino a LCD que puedo apostar no es mucho más dificil 
26/01/23 11:22 - Pika:  No ma esta muy buena esa brasilcancion 
27/05/23 02:08 - Pika:  El ganador es Gómez 
11/04/24 13:41 - Pika:  @5215533980587 felicidades!!!!!🎊 
04/03/24 23:17 - Pika:  Q envidia 
02/04/24 04:13 - Pika:  Esq no la tengo ahorita 
29/06/24 22:19 - Pika:  Simón 
31/05/23 18:48 - Pika:  Le puse algo así como que había reconsiderado mis intereses académicos y personales 
17/02/23 07:21 - Pika:  Y se ajustaban más a otro tipo de materias 
26/10/24 10:18 - Pika:  Escuel 
23/02/24 16:30 - Pika:  1 chiquita o 1 normal? 
02/09/24 20:46 - Pika:  O 1 XXL? 
05/10/23 20:11 - Pika:  🔥 
18/11/23 11:56 - Pika:  A lo sumo 
17/09/23 22:03 - Pika:  En PENE L 
23/09/24 17:09 - Pika:  Ok 
23/11/23 05:49 - Pika:  como cuando token toca el bajo 
11/04/24 06:37 - Pika:  Pinche token 
28/07/24 19:34 - Pika:  Me caga por n 
30/08/24 02:20 - Pika:  No cierto 
31/08/24 08:58 - Pika:  O si 
17/02/23 12:35 - Pika:  Me lleva la chingada 
16/05/24 11:37 - Pika:  Traigo un chingo de hueva 
03/02/23 07:22 - Pika:  Tengo más hueva que el huevón que inventó la bandera de Japón 
05/03/23 09:03 - Pika:  Pero me vine en pablini 
05/06/23 22:09 - Pika:  Aparte pensé que había que sentarse en eclipso 
01/04/23 21:47 - Pika:  Perdón pi 
27/06/24 03:25 - Pika:  Hola 
01/01/24 10:39 - Pika:  Que hacen? 
06/02/23 10:19 - Pika:  Chicas les recomiendo lo siguiente vean videos del rey de las bromas son muy pesadas 
29/01/23 01:29 - Pika:  Gracias 
08/08/24 18:34 - Pika:  Discrepo 
28/10/24 14:49 - Pika:  Siento que el rey de las bromas es el nuevo prankedy 
30/04/24 06:43 - Pika:  Como me parte la polla ese ranero 
25/12/23 17:20 - Pika:  No ma 
30/09/24 05:09 - Pika:  Pensé que no iba a llegar a mi casa 
02/02/24 22:35 - Pika:  No abr pisos 
18/01/23 03:16 - Pika:  Me venia haciendo pis y pensé que no iba a llegar a mi casa y me iba a ganar 
19/10/24 06:53 - Pika:  Pero llegué a mi casa 
18/10/23 23:56 - Pika:  Oooohhhhh no ma roro 
01/02/24 19:39 - Pika:  Ptm 
10/02/24 06:11 - Pika:  No hay puto papel en ningún lado 
19/03/23 05:23 - Pika:  Valió verg me terminé soñando con papel para las manos 
27/08/24 11:58 - Pika:  No mames 
18/01/24 11:16 - Pika:  Pinche Pablo 
18/07/24 17:33 - Pika:  Nos puso con Ezzy 
01/02/23 10:22 - Pika:  Justo hoy los vi juntos 
28/03/23 21:44 - Pika:  Eso ya es de pendejos xd 
30/01/23 00:26 - Pika:  Volver con tu ex en un while sin una condición de paro 
23/04/23 17:15 - Pika:  Benji sacándose la riata para salvar a la escom 
23/09/24 11:41 - Pika:  Smn jajajajaja 
08/10/24 18:18 - Pika:  :o 
28/09/24 22:26 - Pika:  Q cabron 
10/05/24 04:25 - Pika:  No te creo 
01/06/23 09:42 - Pika:  Oye que te pasa 
23/07/23 20:19 - Pika:  Respeta 
20/12/23 21:40 - Pika:  No maaaaaaaaaaaaaaaaaaaa 
18/10/24 13:14 - Pika:  Pinche rpro te la automamaste caon 
06/10/23 21:43 - Pika:  Q te pasa 
25/06/24 18:37 - Pika:  Pinche enfermo enserio 
28/05/23 16:29 - Pika:  Q método utilizaste para que te saliera así? O.o+ 
17/06/24 01:50 - Pika:  Tambn vi que habrá 1 en la ibero 
11/05/23 01:08 - Pika:  Siiiii 
25/05/24 04:54 - Pika:  De una vez 
12/08/23 16:17 - Pika:  Es de 1 a 4 
25/05/24 02:34 - Pika:  Hay q estar juntos Antonino 
02/09/23 05:33 - Pika:  Gsu manue antoine 
27/03/23 06:13 - Pika:  Weno si apeteces 
21/10/23 07:14 - Pika:  Va 
22/07/24 11:16 - Pika:  XD 
08/10/23 16:04 - Pika:  Yo antoine 
16/08/23 18:34 - Pika:  Gire 
02/04/24 18:09 - Pika:  Fire 
10/07/24 08:31 - Pika:  Ijos de la guayaba 
03/01/23 00:21 - Pika:  Se pasaron de cabrones 😂😂😂 
11/01/24 06:11 - Pika:  De q Abdiel hablan? 
27/09/24 02:31 - Pika:  Un profe o Ulises? 
16/08/24 05:21 - Pika:  ah vavav 
30/12/23 22:01 - Pika:  Es el que les da series de tiempo? 
05/03/23 05:37 - Pika:  Al roro le vael berga 
26/08/24 17:18 - Pika:  Q cabron 
01/06/23 12:44 - Pika:  Oigan la práctica de NLP 
09/04/23 11:43 - Pika:  El rss literal 
08/09/23 07:52 - Pika:  O se meten al link de deportes o desde el link que mando el profe se meten 
03/04/24 16:08 - Pika:  Osea por ejemplo se meten al rss de deportes 
07/09/24 23:14 - Pika:  Y asi? 
10/01/23 14:05 - Pika:  Ah vavava 
24/10/24 06:22 - Pika:  Pero entonces solo nos metemos al rss de una sección y no de todas? 
05/05/23 05:24 - Pika:  Ni ma perdon es que no puse atención 
10/01/23 08:35 - Pika:  xd 
07/06/23 08:00 - Pika:  Pero por ejemplo la de pansion no tiene deportes 
27/10/23 11:35 - Pika:  ni cultura 
26/10/24 03:18 - Pika:  Ah vava 
18/10/23 16:20 - Pika:  No ma 
24/04/23 17:30 - Pika:  Entonces esta sencillo creo 
10/01/23 12:40 - Pika:  Creo que saldré de iBM 
05/09/24 11:18 - Pika:  Porque ya me quieren contratar pero el horariu no se embona xd 
09/07/24 10:31 - Pika:  Ahi vemos que pedo 
24/02/23 23:53 - Pika:  Nel me da weba la ESCOM lo que ya qiuero es salir 
05/02/24 10:02 - Pika:  Y esq tambn los profes este semestre son muy buenos 
16/06/23 22:30 - Pika:  Pues si eso haré 
23/04/23 04:14 - Pika:  Te sacaron una moto en Coppel marrano 😔 
10/10/23 04:34 - Pika:  Xd 
16/03/24 11:20 - Pika:  Abr 
15/12/23 01:17 - Pika:  No ma me veo bn cabron 
02/07/24 07:41 - Pika:  fecundo la opinión de sacum 
23/04/23 11:06 - Pika:  Dejen a mi gallo porfavor 
18/01/24 23:32 - Pika:  eS LA OTRA 
16/07/24 07:49 - Pika:  Su viejo 
28/01/24 20:33 - Pika:  Ahi dice wey 
06/12/23 23:38 - Pika:  Oye Sacum 
11/01/23 13:02 - Pika:  Te va tocar exponer en Trmas selectos de Ia ahorita XD 
28/04/24 17:01 - Pika:  Ontas 
04/01/24 10:47 - Pika:  @5217444072924 
18/12/23 05:06 - Pika:  No ma 
22/07/24 01:21 - Pika:  Xd 
11/08/24 13:36 - Pika:  Me saio en Facebook porque locomento hace rato xd 
16/08/23 16:38 - Pika:  No maaaa 
15/01/24 14:03 - Pika:  Le diste su sape? 
15/06/23 10:28 - Pika:  Ayer descubrimos que roro no hace el amor 
30/07/23 14:43 - Pika:  Roro hace el odio 
19/10/24 19:37 - Pika:  🤯🤯🤯 
07/07/24 20:00 - Pika:  3ra clase del 2ndo departamental 
18/05/24 16:16 - Pika:  1ra clase del 2ndo departamental 
18/10/23 13:43 - Pika:  Elq ue entienda esta referencia se lleva un llavero las chichotas del roro tamaño escala 
12/05/24 17:02 - Pika:  (     .      )(     .     ) 
06/01/24 21:14 - Pika:  (                     .                      )( . ) 
21/02/23 20:35 - Pika:  .|. 
29/05/24 11:04 - Pika:  No ma es que pensamos que eras tú jajajaja 
30/10/24 08:24 - Pika:  Esq decía que era como un bit y decía que dejara un mensaje de voz 
15/11/23 13:02 - Pika:  Pero pensé que eras tú y que lo pusiste jajajaja 
01/07/23 12:51 - Pika:  Xd 
06/05/24 06:13 - Pika:  como sabes 
04/04/23 06:00 - Pika:  Tu novia ? 
11/12/23 07:58 - Pika:  Anal avanzada? O estadística? 
10/07/23 11:07 - Pika:  Yo se que tu podrás Caro 
21/01/24 06:23 - Pika:  Bendiciones cabrón 
04/09/23 07:28 - Pika:  Yo no y la verdad me parece muy cagado jajajjajajaja 
14/08/23 11:34 - Pika:  Mi cuarto xd 
07/05/23 03:56 - Pika:  Mañe 
06/05/23 20:03 - Pika:  Puta madrw 
01/09/23 13:41 - Pika:  Me acabo de acordar que no hice lo de Moo 
02/03/24 03:25 - Pika:  Nlp 
19/03/24 09:14 - Pika:  Ammmm 
05/06/24 05:26 - Pika:  Si creo que si 
19/02/23 20:20 - Pika:  Chi 
17/03/23 12:52 - Pika:  Ah no Entons yo me sale ve 
30/03/23 11:48 - Pika:  Me dijo la maestra 
19/04/23 11:09 - Pika:  No ma y si 
14/08/24 23:27 - Pika:  7 el número de la divinidad CR7 
21/11/23 22:51 - Pika:  No mas 
08/08/24 05:40 - Pika:  La maestra de Modelado pregunto por ti 
22/03/24 02:32 - Pika:  @5215517740765 
06/05/24 05:53 - Pika:  ps si papito 
30/08/23 01:40 - Pika:  No 
30/03/24 05:31 - Pika:  Dijo 
30/06/24 17:05 - Pika:  sABEN qn pingas es Jesus MILF 
03/02/23 21:49 - Pika:  Le dije 
16/04/23 11:38 - Pika:  Ese cabron es la cabra 
19/06/24 17:18 - Pika:  El GOAT 
04/03/23 03:22 - Pika:  Y dijo q es eso 
24/11/23 19:46 - Pika:  Y le dije gratest of all times 
07/09/24 02:06 - Pika:  No si es en serio gsu 
07/12/23 12:46 - Pika:  Y después dijo va en el salon? y le dijimos que vas en la tarde 
25/12/23 04:51 - Pika:  Y después le dijeron que eres un genio matemático y que creaste la dat science 
04/09/23 20:11 - Pika:  Y despues dijo o muy bn 
22/02/23 01:29 - Pika:  No si en serio si 
28/11/23 21:58 - Pika:  Y ya amigio 
06/06/24 13:59 - Pika:  Pero aviso que yo la vi primero 
22/12/23 16:10 - Pika:  Te lo juro cabron 
23/10/24 14:43 - Pika:  Que no es mentira 
03/07/23 02:49 - Pika:  Excepto lo de qn pingas es jesus MILF 
31/01/23 15:53 - Pika:  XD 
25/04/24 23:30 - Pika:  Solo dijo conocen a Jesus Manuel Lopez Fabián 
12/02/23 16:14 - Pika:  nO LO DEMÁS SI PASÓ 
25/08/24 03:50 - Pika:  No ma 
27/10/23 22:32 - Pika:  Se refiere a los modelos 
04/10/24 01:57 - Pika:  Segun yo 
25/03/23 15:34 - Pika:  Pero mejor preguntale, a mi ya me funo 
17/02/23 12:11 - Pika:  no ma 
31/03/24 06:57 - Pika:  Segun yo si se refiere a los modelos 
04/06/24 05:06 - Pika:  La mandé 
30/06/24 04:54 - Pika:  al del equipo amistad 
15/06/23 16:48 - Pika:  por perra 
26/05/24 09:29 - Pika:  ¿? 
21/10/24 01:12 - Pika:  Porque no 
02/03/23 07:49 - Pika:  Ya salieron? 
14/07/23 17:41 - Pika:  Bueno ya me voy 
11/01/24 23:59 - Pika:  pq 
10/06/24 19:24 - Pika:  🔥🔥🔥🔥🔥 
12/08/23 17:56 - Pika:  anulo mi voto 
28/02/24 05:28 - Pika:  Ya no quiero trabajr en ibm 
08/01/24 22:26 - Pika:  Ni siquiera se que tengo que hacer xd 
01/03/23 01:14 - Pika:  ALV 
25/07/23 14:11 - Pika:  No me van a creer lo que estan diciendo en IBM 
27/12/23 09:19 - Pika:  Acaban de decir que los rameros de MAPFRE les hicieron reportar sus vacaciones pero no tomarlas esos días 
10/01/24 11:10 - Pika:  Y que luego las tomaban 
12/04/23 08:22 - Pika:  Y que después ya no los dejaron tomar las vacaciones 
30/07/23 23:15 - Pika:  Simon 
23/04/24 17:37 - Pika:  En realidad NLP era el miercoles no? 
29/12/23 17:51 - Pika:  ESEEEEEEEEEEEE 
02/06/24 02:43 - Pika:  Sacate a la verga pablo 
17/05/24 02:08 - Pika:  Papi que putas 
23/10/24 18:22 - Pika:  Subes gordas? 
02/05/24 03:08 - Pika:  jajajajajaj k 
08/11/23 19:18 - Pika:  mmmm si 
07/05/23 16:43 - Pika:  bUNEO QN SABE+Busca reacondicionados 
20/06/23 12:52 - Pika:  En google 
04/04/23 21:23 - Pika:  Y te salen 
03/08/24 22:41 - Pika:  Oigan tenemos que subir en la practica de nlp los corpuses y los codigos? 
27/12/23 04:02 - Pika:  O solo los codigos y el corpus final 
22/04/23 05:03 - Pika:  Y los códigos? 
20/03/23 12:44 - Pika:  Vavavva 
10/12/23 18:47 - Pika:  Vava 
23/09/23 04:28 - Pika:  No ma 
01/12/23 09:25 - Pika:  Ahorita estaba jugando wz 
16/07/23 14:51 - Pika:  Y un bro gringo que era de mi equipo empezó a decirnos que eramos muy malos entonces lo empecé a insultar 
02/07/23 11:17 - Pika:  Y el a mi 
03/07/23 16:33 - Pika:  Y al final no awantó y me muteo 
13/10/24 11:23 - Pika:  xD 
21/02/23 02:11 - Pika:  Ese es el meme Marrano 
09/09/24 10:02 - Pika:  No ma 
01/12/23 17:02 - Pika:  Ahora me salen TikTok donde mencionan a gordas 
17/10/24 14:21 - Pika:  Bueno 
22/09/24 23:23 - Pika:  En general no una en específico 
12/06/23 16:24 - Pika:  Ay 
19/10/23 08:10 - Pika:  Hoy había una platica no? 
17/09/23 03:31 - Pika:  Según yo 
15/03/24 07:17 - Pika:  Pero no se en donde es 
12/06/23 14:59 - Pika:  Gus lo hizo en 20 minutos 
16/10/24 13:03 - Pika:  De que clase es ? 
